Column_1,Column_1_Link,Column_2,Column_2_Link,Column_3,Column_3_Link,Column_4,Column_4_Link,Column_5,Column_5_Link,Column_6,Column_6_Link,Column_7,Column_7_Link,Column_8,Column_8_Link,Column_9,Column_9_Link,Column_10,Column_10_Link,Column_11,Column_11_Link,Column_12,Column_12_Link,Column_13,Column_13_Link,Column_14,Column_14_Link,Column_15,Column_15_Link,Column_16,Column_16_Link,Column_17,Column_17_Link,Column_18,Column_18_Link,Column_19,Column_19_Link,Column_20,Column_20_Link,Column_21,Column_21_Link,Column_22,Column_22_Link,Column_23,Column_23_Link,Column_24,Column_24_Link,Column_25,Column_25_Link,Column_26,Column_26_Link
Arrays,,Find Minimum Number of Merge Operations to Make an Array Palindrome,https://www.geeksforgeeks.org/find-minimum-number-of-merge-operations-to-make-an-array-palindrome/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Given an Array of Numbers Arrange the Numbers to Form the Biggest Number,https://www.geeksforgeeks.org/given-an-array-of-numbers-arrange-the-numbers-to-form-the-biggest-number/,Barclays Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Space Optimization Using Bit Manipulations,https://www.geeksforgeeks.org/space-optimization-using-bit-manipulations/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Subarray Sum Divisible K,https://www.geeksforgeeks.org/longest-subarray-sum-divisible-k/, Snapdeal Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Print all Possible Combinations of r Elements in a Given Array of Size n,https://www.geeksforgeeks.org/print-all-possible-combinations-of-r-elements-in-a-given-array-of-size-n/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Mo's Algorithm,https://www.geeksforgeeks.org/mos-algorithm-query-square-root-decomposition-set-1-introduction/,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/, Amazon Cisco D-E-Shaw Facebook FactSet Morgan Stanley Paytm Zoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Valid Anagram,https://leetcode.com/problems/valid-anagram/, Nagarro Media.net Directi Google Adobe Flipkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Valid parentheses,https://leetcode.com/problems/valid-parentheses/,Google Interview Qs,,use Stacks (if possible),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Remove Consecutive Characters,https://practice.geeksforgeeks.org/problems/consecutive-elements2306/1,Samsung + Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Adobe + Grofers + Dunzo Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Convert a Sentence into its Equivalent Mobile Numeric Keypad Sequence,https://www.geeksforgeeks.org/convert-sentence-equivalent-mobile-numeric-keypad-sequence/,Adobe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Print all the Duplicates in the Input String,https://www.geeksforgeeks.org/print-all-the-duplicates-in-the-input-string/,Ola + Amdocs IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Longest Substring without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Morgan Stanley + Amazon IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/, Amazon Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Samsung + Adobe + Amazon Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Microsoft + Google + Samsung + Visa IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Microsoft IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Next Permutation,https://practice.geeksforgeeks.org/problems/next-permutation5226/1,Adobe + Goldman Sachs + Uber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Count Palindromic Subsequences ,https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1,Myntra Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Smallest Window in a String Containing all the Characters of Another String,https://practice.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string-1587115621/1,Microsoft + Amazon IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Wildcard String Matching,https://practice.geeksforgeeks.org/problems/wildcard-string-matching1126/1,Microsoft + Amazon + Ola IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Longest Prefix Suffix,https://practice.geeksforgeeks.org/problems/longest-prefix-suffix2527/1,Flipkart + Swiggy IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Rabin-Karp Algorithm for Pattern Searching,https://www.geeksforgeeks.org/rabin-karp-algorithm-for-pattern-searching/, Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Transform One String to Another using Minimum Number of Given Operation,https://www.geeksforgeeks.org/transform-one-string-to-another-using-minimum-number-of-given-operation/, Directi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/, Amazon Google MakeMyTrip Streamoid Technologies Microsoft Media.net Atlassian Flipkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Boyer Moore Algorithm for Pattern Searching,https://www.geeksforgeeks.org/boyer-moore-algorithm-for-pattern-searching/,Amdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strings,,Word Wrap,https://practice.geeksforgeeks.org/problems/word-wrap1646/1,Microsoft,,use Dynaming Programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Zigzag (or diagonal) Traversal of Matrix,https://www.geeksforgeeks.org/zigzag-or-diagonal-traversal-of-matrix/, Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Flipkart + Apple + Societe Generale IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Rotate Image,https://leetcode.com/problems/rotate-image/, Microsoft Paytm Samsung Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Word Search,https://leetcode.com/problems/word-search/,Google + Ola + Goldman Sachs IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Find the Number of Islands | Set 1 (Using DFS),https://www.geeksforgeeks.org/find-number-of-islands/,Microsoft + Uber + Apple + Amazon IQ,,Read about DFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,"Given a Matrix of ‘O’ and ‘X’, Replace ‘O’ with ‘X’ if Surrounded by ‘X’",https://www.geeksforgeeks.org/given-matrix-o-x-replace-o-x-surrounded-x/, Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Find a Common Element in all Rows of a Given Row-Wise Sorted Matrix,https://www.geeksforgeeks.org/find-common-element-rows-row-wise-sorted-matrix/, MAQ Software Microsoft VMWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Create a Matrix with Alternating Rectangles of O and X,https://www.geeksforgeeks.org/create-a-matrix-with-alternating-rectangles-of-0-and-x/, MAQ VMWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Arrays,,Maximum Size Rectangle of all 1s,https://www.geeksforgeeks.org/maximum-size-rectangle-binary-sub-matrix-1s/,Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Permute Two Arrays such that Sum of Every Pair is Greater or Equal to K,https://www.geeksforgeeks.org/permute-two-arrays-sum-every-pair-greater-equal-k/,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,counting sort,https://www.geeksforgeeks.org/counting-sort/,Samsung+ Morgan Stanley+ Snapdeal + EPAM Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,find common elements three sorted arrays,https://www.geeksforgeeks.org/find-common-elements-three-sorted-arrays/, MAQ Software Microsoft VMWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Searching in an array where adjacent differ by at most k,https://www.geeksforgeeks.org/searching-array-adjacent-differ-k/,TCS Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,ceiling in a sorted array,https://www.geeksforgeeks.org/ceiling-in-a-sorted-array/,TCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Piar with given difference,https://www.geeksforgeeks.org/find-a-pair-with-the-given-difference/, Amazon Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,majority element,https://www.geeksforgeeks.org/majority-element/,Amazon+ Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,count triplets with sum smaller that a given value,https://www.geeksforgeeks.org/count-triplets-with-sum-smaller-that-a-given-value/, Amazon SAP Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Maximum Sum Subsequence with no adjacent elements,https://www.geeksforgeeks.org/maximum-sum-such-that-no-two-elements-are-adjacent/, Amazon FactSet Oxigen Wallet OYO Rooms Paytm Walmart Yahoo Adobe Flipkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Merge Sorted Arrays using O(1) Space,https://www.geeksforgeeks.org/merge-two-sorted-arrays-o1-extra-space/, Amdocs Brocade Goldman Sachs Juniper Networks Linkedin Microsoft Quikr Snapdeal Synopsys Zoho Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Inversion of Array,https://practice.geeksforgeeks.org/problems/inversion-of-array-1587115620/1, Adobe Amazon BankBazaar Flipkart Microsoft Myntra MakeMyTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Find Duplicates in O(n) Time and O(1) Extra Space ,https://www.geeksforgeeks.org/find-duplicates-in-on-time-and-constant-extra-space/, Amazon D-E-Shaw Flipkart Paytm Qualcomm Zoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Radix Sort,https://www.geeksforgeeks.org/radix-sort/,Amazon+ Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Product of Array except itself,https://www.geeksforgeeks.org/a-product-array-puzzle/, Accolite Amazon D-E-Shaw Intuit Morgan Stanley Opera Microsoft Flipkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Make all Array Elements Equal,https://www.geeksforgeeks.org/make-array-elements-equal-minimum-cost/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Check if Reversing a Sub Array Make the Array Sorted,https://www.geeksforgeeks.org/check-reversing-sub-array-make-array-sorted/, Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Find Four Elements that Sum to a Given Value,https://www.geeksforgeeks.org/find-four-elements-that-sum-to-a-given-value-set-2/, Adobe Amazon Google Microsoft OYO Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Median of Two Sorted Array with Different Size,https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/, Amazon Samsung Microsoft Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Median of Stream of Integers Running Integers,https://www.geeksforgeeks.org/median-of-stream-of-integers-running-integers/,Amazon + Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Print Subarrays with 0 Sum,https://www.geeksforgeeks.org/print-all-subarrays-with-0-sum/, Paytm Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Aggressive Cows,https://www.spoj.com/problems/AGGRCOW/,Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Allocate Minimum number of Pages,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1, Google Infosys Codenation Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Sorting,,Minimum Swaps to Sort,https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/,Amazon + Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Backtracking Set 2 Rat in a Maze,https://www.geeksforgeeks.org/backttracking-set-2-rat-in-a-maze/,Microsoft Amazon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Combinational Sum,https://www.geeksforgeeks.org/combinational-sum/,Adobe Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Crossword-Puzzle,https://www.hackerrank.com/challenges/crossword-puzzle/problem,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Longest Possible Route in a Matrix with Hurdles,https://www.geeksforgeeks.org/longest-possible-route-in-a-matrix-with-hurdles/,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Printing all solutions in N-Queen Problem,https://www.geeksforgeeks.org/printing-solutions-n-queen-problem/,Accolite Amazon Amdocs D-E-Shaw MAQ Software Twitter Visa Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Solve the Sudoku,https://practice.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1,Amazon Directi Flipkart MakeMyTrip MAQ Software Microsoft Ola Cabs Oracle PayPal Zoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Partition Equal Subset Sum,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1,Amazon + Adobe + Accolite + Traveloka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,M Coloring Problem,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Knight Tour,https://www.geeksforgeeks.org/backtracking-set-1-the-knights-tour-problem/,IBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Soduko,https://www.geeksforgeeks.org/backtracking-set-7-suduku/,Amazon + Adobe + Accolite + Traveloka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Remove Invalid Parentheses,https://www.geeksforgeeks.org/remove-invalid-parentheses/,Uber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Word Break Problem using Backtracking,https://www.geeksforgeeks.org/word-break-problem-using-backtracking/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Print all Palindromic Partitions of a String,https://www.geeksforgeeks.org/print-palindromic-partitions-string/,Facebook Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Find Shortest Safe Route in a Path with Landmines,https://www.geeksforgeeks.org/find-shortest-safe-route-in-a-path-with-landmines/,Facebook Amazon Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Partition of Set into K Subsets with Equal Sum,https://www.geeksforgeeks.org/partition-set-k-subsets-equal-sum/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Backtracking set-7 hamiltonian cycle,https://www.geeksforgeeks.org/backtracking-set-7-hamiltonian-cycle/,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,tug-of-war,https://www.geeksforgeeks.org/tug-of-war/,Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Maximum Possible Number by doing at most K swaps,https://www.geeksforgeeks.org/find-maximum-number-possible-by-doing-at-most-k-swaps/,Amazon + Adobe + Accolite + Traveloka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Backtracking set-8 solving cryptarithmetic puzzles,https://www.geeksforgeeks.org/backtracking-set-8-solving-cryptarithmetic-puzzles/,Goldman Sachs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Find paths from corner cell to middle cell in maze,https://www.geeksforgeeks.org/find-paths-from-corner-cell-to-middle-cell-in-maze/,Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backtracking,,Arithmetic Expressions,https://www.hackerrank.com/challenges/arithmetic-expressions/problem,Flipkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
